ID,캐릭터 이름,대사
1,???,...
,,이건 내가 한 게 아니야.
,,나는 이걸 겪었다고 느끼고 있지만.
,,결국' 나는 만들어진 복제품일 뿐이니까.
,,...
,,하지만 그것을 해낸 그를 존경해야 하는게 맞는 일이겠지.
,,그 덕분에 내가 만들어진 거니까.
2,???,그나저나' 오늘은 사람들이 많이 오지 않았는걸.
,,그래서 더 지루했던 건가.
3,???,또 시작이네.
,,매일같이' 박물관이 닫히기 직전에 일어나는 정전.
,,적어도 부주의 때문에 생긴 일은 아닌 것 같은데.
,,정전이 오면' 그래서 나를 감시할 수단이 사라지면.
,,나는 항상 시스템 점검을 해.
,,현재 기능하는 건 탐색모드 뿐이야.
,,다른 기능들은 잠겨있으니' 딱히 선택지는 없어.
4,???,매일 같이 봐오는 지긋지긋한 그림이다. 세 명의 영웅에 관한 이야기로 이루어져 있지만' 사실 내 알 바는 아니지. 중요하지도 않고.
5,???,내 잠자리지. 좁긴 하지만' 앉아서 생각을 정리하는 데는 딱 좋은 편.
6,???,인간을 모방한 로봇들. 어떻게 이런 모습까지 올 수 있었는지에 대한 행보를 담아둔 전시품들이다. 어쩌면 나도' 처음엔 저런 모습이었을지도.
7,???,이름은 알아듣기 힘들고. 작동되는 건 엉망이라니.
,,애초에' 무슨 기준으로 오브젝트들이 스캔 되는 거지?
,,딱히 그럴듯한 정보도 뜨지 않고. 보기 좋게 빛날 뿐이야.
,,마치 누군가가 정해놓은 것 같은...
,,아니' 어쩌면 지금 내게 필요한 것들을 보여주는 걸지도.
,,...
,,그럴 일은 없나?
,,더 정확하게 표기해놨다면 이렇게 고민할 필요도 없을 텐데.
,,나 같았으면' 더 제대로...
,,....
,,아니' 내가 만든거나 마찬가지인가?
,,...
,,쓸데없는 생각은 말자.
,,사용하다 보면 문제점을 찾을 수도 있고.
,,문제점을 기록하다 보면 이걸 고칠 수도 있겠지.
,,나갈 수 있게 된다면' 말야.
,,...
,,...그래. 나갈 수 있다면.
