ID,캐릭터 이름,대사
1,핀,뭔가' 조용하네요.
2,앤,(무전) 이런 상황에 들어오는 건 상상도 못 했을걸.
,,(무전) 가는데' 시간이 조금 걸려. 앞으로 가자.
3,핀,지하를 이렇게 넓게...
4,앤,(무전) ...이걸 만들었던 기억은 없어?
5,핀,아' 네. 저는 처음 보는 모습이에요.
6,죠셉,만드는 과정 자체를 넣지 않았을 거다.
,,...안토니오는' 이미 알고 있었던 것 같다만....
,,...뭐' 이때만 해도' 기운이 넘쳤던 시절이었다.
7,앤,(무전) 기억을 다 따로 넣은 거야?
8,죠셉,각자가 원하는 기억을 받아서 넣었다.
,,어떤 기억을 넣었는진' 본인들만이 알고 있지.
9,핀,그럼' 제게 넣었던 기억들은 모두 기억하고 계신 거죠?
10,죠셉,...그렇다만.
11,핀,...나중에라도' 들어보고 싶네요.
12,앤,(무전) 여긴 두 번에 걸쳐 인증하게 돼.
,,(무전) 이 앞에서 한번' 그리고 곧 나올 엘리베이터에서 한번.
13,핀,철저하네요' 나름...
14,앤,(무전) 일단' 인증했다는 신호는 안 가도록 막을 거야.
15,죠셉,그럼' 인증하면 되겠군.
,,아마' 지문 또한 똑같이 만들었으니. 네가 인증을 해도 열릴 거다.
16,핀,...그렇게 세밀하게 만들어진 거였군요' 저.
17,앤,(무전) ...반응이 없는데? 왜지?
18,죠셉,생각보다 더... 시스템이 망가진 건가?
19,앤,(무전) 그럴 리가. ...잠깐' 설마 이건...
20,죠셉,...뭔가 잘못되었다.
21,앤,(무전) .....그래. 혁명 3인방만이 들어올 수 있도록 바뀐건...
,,(무전) 그 세사람 중 하나를 불러오기 위함이었던 거야.
22,핀,어' 어째서...!
23,죠셉,적어도' 안토니오를 부르려고 했던 건 아닐 거다.
24,앤,(무전) 웨일사 회장인 파울펠로를 불러내려는 것도 아닐 테고 -
25,핀,....제페토씨를 불러내기 위함이었던 건가요...!
,,박물관의 보안 시스템을 재구축할 수 있는..!
26,죠셉,돌아가는 건 늦었다. 안토니오의 본체를 빼내서' 억지로 여는 수밖엔..
27,앤,(무전) ...억지로라도 앞의 길을 열거야! 모두 준비해!
28,앤,(무전) 이걸 타고 내려가야 해.
29,죠셉,서두르지.
30,앤,(무전) 다 왔어. 이 너머에...
,,(무전) 내가 있어.
31,핀,저 너머에' 앤씨가...
32,죠셉,...널 직접 보는 건 꽤 오랜만의 일이군.
33,앤,(무전) 만들고 나서 처음이니까. 
34,죠셉,어쨌든' 더 망설일 필요가 없군.
35,앤,(무전) ...그런데 나' 뭘 입고 있었던가...?
36,죠셉,들어간다.
37,앤,(무전) 자' 자자자잠깐! 확인이라도 해보게...!
38,죠셉,그럴 시간 없다. 핀' 들어간다. 준비하도록
39,핀,네' 네.....!
