ID,캐릭터 이름,대사
1,핀,여긴....?
2,???,(무전) 쓰레기장. 혹은 무덤.
3,???,(무전) 보여줄 수 없거나 망가진 로봇들의 산이야.
,,(무전) 결국' 우리가 올 도착점일수도 있지.
4,핀,우리...라면' 당신도 안드로이드인건가요?
5,???,(무전) ...맞아. 너와 같은 처지이기도 해.
6,핀,설마. 그렇다면 당신은...
7,???,(무전) ..내 이름은 안토니오. 혁명 3인을 본따 만들어진 안드로이드.
,,(무전) 너와 같은 모조품.
8,핀,안토니오? 어떻게 네가...
9,???,"(무전) 그 사람들은 너와 만난 적이 있겠지만, 적어도 우리는 아냐."
,,(무전) ...그리고‘ 나는 적어도 그 사람들의 모조품이 되고 싶지는 않아.
,,(무전) 그러니까’ 나를 부를때는 안토니오가 아니라 앤이라고 불러.
10,핀,...그렇군요. 알겠습니다. 앤.
,,저는' 핀이라고 불러주세요.
11,앤,(무전) ...핀이라고? ...그래’ 너도 이름을...
,,"(무전) ...좋아, 핀. 이름’ 마음에 드네."
12,핀,잘 부탁드려요. 앤씨. 초면' 이지만요.
13,앤,(무전) 잘 부탁해. 첫 인상이 좋네. 핀.
14,앤,(무전) 길을 못찾고 있는건 아니지?
15,핀,그럼요. 탐색모드가 이런 용도인지는 몰랐지만... 정말 편리하네요.
,,보고 싶은 것만 볼 수 있다니.
16,앤,(무전) 보고 싶은걸 볼 수 있다고?
,,(무전) 그럴리가. 탐색모드는 사전에 적용해둔것밖에 보이지 않아.
17,핀,...네? 하지만’ 업데이트 이전에도 찾으려고 한 것들이 보였는걸요.
18,앤,(무전) ...내가 모르던 기능이 있었던건가?
19,핀,앤씨도 모르던 기능이 있었던 건가요? 그럼 대체 이건...
20,앤,(무전) 적어도' 내가 만들었던 기능은 아니었으니까.
,,(무전) 할배가 또 무슨 짓을 해놓은건지..
21,핀,할배라고 부르시는건 죠셉 제페토를 말씀하시는거죠?
22,앤,(무전) 맞아. 지금 사용하고 있는 해킹도 그 할배한테 배웠고.
23,핀,해킹이라구요? 하지만 그런걸 배운적은..
24,앤,(무전) 네가 만들어진 이후에 배웠을거야.
,,(무전) 나도 제페토가 해킹을 배웠다는 기억은 없었으니까.
25,핀,그 이후로 더 변했다는 이야기네요.
,,조금 기대가 되는걸요. 그런 삶을 살아온자가 어떤 모습을 하고 있을지.
26,앤,(무전) ...기대는 하지마. 여러가지 의미로 많이 변했으니까.
27,핀,쉽게 변할 사람은 아니지 않나요?
,,"적어도, 제가 아는 그 사람이라면."
28,앤,(무전) 직접 보는게 더 빠르겠지. 일단 더 이동하자. 그렇게 멀지 않아.
29,핀,앤씨’ 들리시나요?
30,앤,(무전) 듣고 있어.
31,핀,거리로 들어왔어요. 이쪽으로 가면 되나요?
32,앤,(무전) 앞으로 계속 가. 그럼 폴렌디나 라는 펍이 나올거야.
33,핀,폴렌디나라. 정말 오랜만에 듣는 이름이네요.
34,앤,(무전) 추억도 살리게' 그럼 폴렌디나라고 불러줄까? 예전처럼.
35,핀,아뇨. 지금 저에겐 핀이라는 이름이 있으니까요.
36,앤,(무전) 그게 더 어울려. 그럼 앞으로 더 나아가자.
37,핀,네.
38,핀,여기군요.
39,앤,(무전) 그래. 전쟁이 끝나면 주점을 운영하는게 꿈이었잖아? 알다시피.
40,핀,그렇네요. 마음에 꽤 드는데요. 분위기도 좋고. 앤씨는 어떠세요? 이런 분위기.
41,앤,(무전) 지은지는 얼마 안됐을거야.
,,(무전) 그래도 마음에 든다니’ 취향은 어디 안가나보네.
,,(무전) 너무 어두컴컴해서. 아무것도 안보이잖아.
42,핀,그' 그런가요?
43,앤,(무전) 어쨌든. 아무래도 상관 없으니까. 안으로 들어가자. 준비는 됐어?
44,핀,...네!
45,핀,안녕하... 헉!
46,앤,(무전) 또 저러고 있네.
47,핀,사..사람이! 사람이!
48,앤,(무전) 호들갑 떨지말고 다시 봐.
,,(무전) 술 먹다가 지쳐서 잠든것 뿐이니까.
49,핀,앗’ 그런 건가요? 술을 지칠 정도로 마시다니...
50,앤,(무전) 가서 깨워.
51,핀,네...?
52,앤,(무전) 깨워. 가서.
53,핀,그래도 되는건가요?
54,앤,(무전) 그럼 여기서 하루종일 있을래? 나 시간 없어.
55,핀,그' 그런...
56,죠셉,으음.. 잠시 잠이 들었었나.
,,대체 누구길래.....
,,...
,,안토니오. 지금 대체 누굴 데려온거지?
57,앤,(무전) 반응이 생각보다 격하네?
58,죠셉,거절한 이유가 부족했던건가?
59,앤,(무전) 아무튼’ 데려왔지? 지금 여기에서 말할 때가 아닌거같은데.
,,(무전) 보안 시스템. 휩쓸어놓고 와서 난리 났을걸.
60,죠셉,...
,,(한숨) 일단 이쪽으로.
